Year,CropCode,CropName,CountyCode,County,HarvestAcres,Yield,Production,PricePerUnit,Unit
2014,268099,ALMOND HULLS,7,Butte,,,42000,120,Tons
2014,268099,ALMOND HULLS,11,Colusa,,,51800,135.02,Tons
2014,268099,ALMOND HULLS,19,Fresno,,,326000,163,Tons
2014,268099,ALMOND HULLS,21,Glenn,,,38500,119.92,Tons
2014,268099,ALMOND HULLS,29,Kern,,,543000,127.14,Tons
2014,268099,ALMOND HULLS,31,Kings,,,43100,150.05,Tons
2014,268099,ALMOND HULLS,39,Madera,,,195000,145.22,Tons
2014,268099,ALMOND HULLS,47,Merced,,,205000,150.8,Tons
2014,268099,ALMOND HULLS,77,San Joaquin,,,136000,145,Tons
2014,268099,ALMOND HULLS,99,Stanislaus,,,346000,150,Tons
2014,268099,ALMOND HULLS,101,Sutter,,,6790,127.84,Tons
2014,268099,ALMOND HULLS,107,Tulare,,,97500,152,Tons
2014,268099,ALMOND HULLS,113,Yolo,,,23900,146.82,Tons
2014,268099,ALMOND HULLS,115,Yuba,,,847,127.51,Tons
2014,268099,ALMOND HULLS,991,Sum of Others,,,119500,38.27,Tons
2014,268099,ALMOND HULLS,999,State Total,,,2174937,137.95,
2014,261999,ALMONDS ALL,7,Butte,39200,0.91,35700,6751.71,Tons
2014,261999,ALMONDS ALL,11,Colusa,51800,0.8,41400,6742.68,Tons
2014,261999,ALMONDS ALL,19,Fresno,171000,1.08,184000,6792,Tons
2014,261999,ALMONDS ALL,21,Glenn,40200,0.77,30900,6176.41,Tons
2014,261999,ALMONDS ALL,29,Kern,199000,1.01,201000,7124.87,Tons
2014,261999,ALMONDS ALL,31,Kings,19400,1.11,21600,7136.11,Tons
2014,261999,ALMONDS ALL,39,Madera,106000,0.94,99600,7457.99,Tons
2014,261999,ALMONDS ALL,47,Merced,99900,0.99,98600,8019.82,Tons
2014,261999,ALMONDS ALL,77,San Joaquin,59200,1.15,68100,8500,Tons
2014,261999,ALMONDS ALL,95,Solano,3430,0.7,2410,5873.86,Tons
2014,261999,ALMONDS ALL,99,Stanislaus,164000,1.05,173000,7800,Tons
2014,261999,ALMONDS ALL,101,Sutter,7440,0.73,5430,5719.89,Tons
2014,261999,ALMONDS ALL,103,Tehama,10700,0.78,8380,5753.7,Tons
2014,261999,ALMONDS ALL,107,Tulare,46400,1.05,48700,8050,Tons
2014,261999,ALMONDS ALL,113,Yolo,19900,1,19900,5397.44,Tons
2014,261999,ALMONDS ALL,115,Yuba,847,0.8,678,7294.99,Tons
2014,261999,ALMONDS ALL,991,Sum of Others,808,0.6,486,10738.07,Tons
2014,261999,ALMONDS ALL,999,State Total,1039225,1,1039884,7319.91,
2014,333999,ANISE (FENNEL),53,Monterey,699,17.17,12000,756,Tons
2014,333999,ANISE (FENNEL),991,Sum of Others,202,11.5,2322,1092.59,Tons
2014,333999,ANISE (FENNEL),999,State Total,901,15.9,14322,810.57,
2014,483999,APIARY PRODUCTS BEES PACKAGED,11,Colusa,,,3500,75.14,Lbs
2014,483999,APIARY PRODUCTS BEES PACKAGED,21,Glenn,,,122000,16.63,Lbs
2014,483999,APIARY PRODUCTS BEES PACKAGED,47,Merced,,,67700,18.33,Lbs
2014,483999,APIARY PRODUCTS BEES PACKAGED,991,Sum of Others,,,9660,50,Lbs
2014,483999,APIARY PRODUCTS BEES PACKAGED,999,State Total,,,202860,19.8,
2014,485999,APIARY PRODUCTS BEES QUEEN,11,Colusa,,,43500,23.49,Each
2014,485999,APIARY PRODUCTS BEES QUEEN,21,Glenn,,,180000,20.07,Each
2014,485999,APIARY PRODUCTS BEES QUEEN,47,Merced,,,20600,20.05,Each
2014,485999,APIARY PRODUCTS BEES QUEEN,89,Shasta,,,149000,20.6,Each
