common_name,site,sex,tail
Western Whiptail,CALI,M,B
Side-blotched Lizard,CALI,J,B
Western Whiptail,SAND,M,W
Western Whiptail,SAND,F,W
Western Whiptail,SAND,M,B
Western Whiptail,BASN,F,W
Side-blotched Lizard,BASN,F,B
Colorado Checkered,BASN,J,W
Colorado Checkered,BASN,F,W
Western Whiptail,BASN,M,W
Western Whiptail,BASN,F,W
Western Whiptail,BASN,F,W
NA,IBPE,NA,NA
Western Whiptail,IBPE,F,W
Western Whiptail,RABB,F,B
Western Whiptail,RABB,F,W
NA,WELL,NA,NA
Western Whiptail,EAST,F,W
Western Whiptail,EAST,M,B
Western Whiptail,EAST,M,W
Side-blotched Lizard,CALI,NA,W
Western Whiptail,CALI,F,W
Western Whiptail,SAND,M,W
Side-blotched Lizard,SAND,NA,W
Western Whiptail,SAND,M,B
Side-blotched Lizard,SAND,NA,W
Side-blotched Lizard,SAND,F,W
Western Whiptail,SAND,M,W
Texas Horned,BASN,F,W
Western Whiptail,BASN,M,NA
Western Whiptail,BASN,M,W
Lesser Earless,BASN,M,W
Colorado Checkered,BASN,F,W
NA,IBPE,NA,NA
NA,IBPE,NA,NA
Western Whiptail,RABB,F,W
Side-blotched Lizard,RABB,F,B
Western Whiptail,RABB,M,W
Western Whiptail,RABB,F,B
Western Whiptail,RABB,M,W
New Mexico,WELL,F,W
Side-blotched Lizard,WELL,F,W
Western Whiptail,WELL,J,W
Eastern Fence,WELL,F,B
Side-blotched Lizard,EAST,F,B
Western Whiptail,EAST,M,W
Side-blotched Lizard,EAST,M,W
Western Whiptail,EAST,F,W
Western Whiptail,EAST,M,B
Western Whiptail,CALI,F,W
Side-blotched Lizard,CALI,J,W
Greater Earless,CALI,M,W
Side-blotched Lizard,SAND,J,W
Side-blotched Lizard,SAND,J,B
Side-blotched Lizard,SAND,J,W
Western Whiptail,SAND,F,W
Side-blotched Lizard,SAND,J,W
Western Whiptail,SAND,M,B
NA,BASN,NA,NA
Side-blotched Lizard,IBPE,F,W
NA,IBPE,NA,NA
Western Whiptail,RABB,F,W
Western Whiptail,RABB,F,W
Side-blotched Lizard,WELL,M,B
Side-blotched Lizard,WELL,M,W
Western Whiptail,EAST,M,W
Western Whiptail,EAST,F,B
Western Whiptail,EAST,M,W
Western Whiptail,EAST,M,W
Western Whiptail,EAST,M,W
Western Whiptail,WEST,F,W
Western Whiptail,WEST,M,W
Eastern Fence,WEST,M,W
Side-blotched Lizard,CALI,J,W
Western Whiptail,SAND,F,W
Side-blotched Lizard,SAND,J,B
Great Plains,SAND,F,W
NA,SAND,NA,NA
NA,BASN,NA,NA
Side-blotched Lizard,IBPE,J,W
Side-blotched Lizard,IBPE,J,B
Side-blotched Lizard,IBPE,M,W
Side-blotched Lizard,IBPE,J,W
Western Whiptail,RABB,F,W
Side-blotched Lizard,RABB,J,NA
Western Whiptail,RABB,NA,W
NA,WELL,NA,NA
Side-blotched Lizard,EAST,NA,W
Side-blotched Lizard,EAST,F,W
Western Whiptail,EAST,F,W
Western Whiptail,EAST,F,W
Side-blotched Lizard,EAST,NA,W
Western Whiptail,WEST,M,W
Western Whiptail,WEST,F,W
NA,CALI,NA,NA
Side-blotched Lizard,CALI,J,W
Side-blotched Lizard,CALI,J,W
Side-blotched Lizard,CALI,J,W
Side-blotched Lizard,CALI,J,W
NA,GRAV,NA,NA
Side-blotched Lizard,GRAV,J,W
Western Whiptail,GRAV,M,W
Side-blotched Lizard,SAND,J,W
Western Whiptail,SAND,F,W
Side-blotched Lizard,SAND,F,B
Colorado Checkered,BASN,F,W
Side-blotched Lizard,BASN,J,W
Side-blotched Lizard,IBPE,F,B
Side-blotched Lizard,IBPE,J,NA
Side-blotched Lizard,IBPE,J,NA
Side-blotched Lizard,IBPE,J,NA
Side-blotched Lizard,IBPE,J,NA
NA,RABB,NA,NA
Side-blotched Lizard,RABB,NA,W
NA,WELL,NA,NA
Side-blotched Lizard,WELL,NA,W
Western Whiptail,WELL,M,W
Side-blotched Lizard,WELL,J,W
Side-blotched Lizard,WELL,M,W
