code,scientific_name,common_name
CNEX,Cnemidophorus exanguis,Chihuahuan Spotted
CNIN,Cnemidophorus inornatus,Little Striped
CNNE,Cnemidophorus neomexicanus,New Mexico
CNTE,Cnemidophorus tessalatus,Colorado Checkered
CNTI,Cnemidophorus tigrisatus,Western Whiptail
CNUN,Cnemidophorus uniparens,Desert Grassland
COTE,Cophosuarus texanus,Greater Earless
CRCO,Crotaphytus collaris,Collared Lizard
EUOB,Eumeces obsoletus,Great Plains
GAWI,Gambelia wislizenii,Longnose Lepoard
HOMA,Holbrookia maculata,Lesser Earless
PHCO,Phrynosoma cornutum,Texas Horned
PHMO,Phrynosoma modestum,Roundtail Horned
SCMA,Sceloporus magisters,Desert Spiny
SCUN,Sceloporus undulatus,Eastern Fence
UTST,Uta stansburiana,Side-blotched Lizard
